,class,firstutterance,noun,nounGerman,nounclass,predicate,predicateGerman,response,slide_number,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id,asses
18,age,ist ,banana,Banane,food,new,neu,0.94,21,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
19,age,ist nicht,tomato,Tomate,food,old,alt,0.94,22,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
20,size,ist ,chair,Stuhl,furniture,huge,riesig,0.93,23,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
21,age,ist nicht,chair,Stuhl,furniture,fresh,frisch,0.96,24,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
22,size,ist nicht,tomato,Tomate,food,long,lang,0.95,25,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
23,color,ist nicht,chair,Stuhl,furniture,green,gr&uuml;n,0.96,26,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
24,texture,ist ,apple,Apfel,food,smooth,glatt,0.95,27,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
25,size,ist nicht,carrot,Karotte,food,tiny,winzig,0.98,28,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
0,size,ist nicht,tomato,Tomate,food,short,kurz,0.77,3,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
1,shape,ist nicht,couch,Couch,furniture,round,rund,0.22,4,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
2,nationality,ist nicht,apple,Apfel,food,American,americanisch,0.0,5,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
3,texture,ist ,tomato,Tomate,food,hard,hart,0.29,6,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
4,size,ist ,TV,Fernsehen,furniture,tiny,winzig,0.4,7,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
5,texture,ist ,TV,Fernsehen,furniture,smooth,glatt,0.16,8,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
6,age,ist ,tomato,Tomate,food,old,alt,0.13,9,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
7,size,ist ,carrot,Karotte,food,small,klein,0.28,10,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
8,size,ist ,chair,Stuhl,furniture,big,gro&szlig;,0.29,11,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
9,nationality,ist nicht,banana,Banane,food,German,deutsch,0.0,12,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
10,age,ist nicht,desk,Schreibtisch,furniture,rotten,faul,0.21,13,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
11,color,ist nicht,banana,Banane,food,yellow,gelb,0.0,14,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
12,quality,ist ,fan,Ventilator,furniture,bad,schlecht,0.37,15,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
13,shape,ist ,couch,Couch,furniture,square,quadratisch,0.0,16,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
14,color,ist nicht,carrot,Karotte,food,brown,braun,0.0,17,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
15,color,ist nicht,fan,Ventilator,furniture,green,gr&uuml;n,0.0,18,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
16,color,ist nicht,TV,Fernsehen,furniture,red,rot,0.0,19,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
17,color,ist ,cheese,K&auml;se,food,purple,purpur,0.0,20,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
18,quality,ist nicht,banana,Banane,food,good,gut,0.7,21,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
19,nationality,ist nicht,apple,Apfel,food,French,franz&ouml;sisch,0.12,22,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
20,age,ist ,desk,Schreibtisch,furniture,fresh,frisch,0.0,23,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
21,texture,ist ,carrot,Karotte,food,soft,weich,0.13,24,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
22,age,ist ,apple,Apfel,food,new,neu,0.31,25,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
23,color,ist nicht,apple,Apfel,food,blue,blau,0.09,26,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
24,size,ist ,couch,Couch,furniture,huge,riesig,0.31,27,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
25,size,ist ,couch,Couch,furniture,long,lang,0.42,28,deutsch,23,Female,1,,Firefox,Linux,768,1366,3.2215166666666666,4,Yes
0,age,ist nicht,carrot,Karotte,food,fresh,frisch,1.0,3,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
1,size,ist ,tomato,Tomate,food,small,klein,0.77,4,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
2,texture,ist nicht,cheese,K&auml;se,food,soft,weich,0.16,5,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
3,size,ist nicht,banana,Banane,food,tiny,winzig,0.62,6,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
4,texture,ist nicht,apple,Apfel,food,hard,hart,0.16,7,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
5,color,ist nicht,carrot,Karotte,food,purple,purpur,0.03,8,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
6,nationality,ist ,apple,Apfel,food,American,americanisch,0.01,9,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
7,age,ist ,apple,Apfel,food,old,alt,0.17,10,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
8,texture,ist ,tomato,Tomate,food,smooth,glatt,0.01,11,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
9,nationality,ist nicht,desk,Schreibtisch,furniture,French,franz&ouml;sisch,0.73,12,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
10,age,ist nicht,banana,Banane,food,new,neu,0.22,13,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
11,color,ist nicht,fan,Ventilator,furniture,brown,braun,0.0,14,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
12,age,ist ,desk,Schreibtisch,furniture,rotten,faul,0.02,15,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
13,size,ist nicht,tomato,Tomate,food,short,kurz,0.0,16,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
14,quality,ist nicht,couch,Couch,furniture,bad,schlecht,0.98,17,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
15,shape,ist ,desk,Schreibtisch,furniture,round,rund,0.0,18,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
16,size,ist nicht,tomato,Tomate,food,long,lang,0.14,19,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
17,color,ist nicht,couch,Couch,furniture,yellow,gelb,0.0,20,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
18,size,ist ,TV,Fernsehen,furniture,big,gro&szlig;,0.73,21,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
19,quality,ist ,tomato,Tomate,food,good,gut,0.97,22,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
20,color,ist ,tomato,Tomate,food,blue,blau,0.02,23,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
21,size,ist ,cheese,K&auml;se,food,huge,riesig,0.62,24,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
22,color,ist nicht,fan,Ventilator,furniture,green,gr&uuml;n,0.01,25,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
23,color,ist nicht,chair,Stuhl,furniture,red,rot,0.01,26,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
24,nationality,ist nicht,cheese,K&auml;se,food,German,deutsch,0.0,27,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
25,shape,ist nicht,TV,Fernsehen,furniture,square,quadratisch,0.01,28,Deutsch,27,Female,2,,Firefox,Mac,900,1440,3.47615,5,Yes
0,age,ist ,tomato,Tomate,food,fresh,frisch,0.0,3,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
1,color,ist ,couch,Couch,furniture,blue,blau,0.72,4,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
2,size,ist ,tomato,Tomate,food,tiny,winzig,0.49,5,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
3,age,ist ,chair,Stuhl,furniture,old,alt,0.75,6,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
4,shape,ist nicht,fan,Ventilator,furniture,round,rund,0.2,7,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
5,color,ist nicht,desk,Schreibtisch,furniture,green,gr&uuml;n,0.37,8,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
6,size,ist nicht,desk,Schreibtisch,furniture,huge,riesig,0.73,9,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
7,size,ist nicht,TV,Fernsehen,furniture,short,kurz,0.47,10,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
8,texture,ist nicht,tomato,Tomate,food,soft,weich,0.29,11,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
9,nationality,ist nicht,fan,Ventilator,furniture,American,americanisch,0.08,12,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
10,color,ist ,fan,Ventilator,furniture,purple,purpur,0.28,13,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
11,texture,ist nicht,carrot,Karotte,food,smooth,glatt,0.43,14,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
12,age,ist nicht,chair,Stuhl,furniture,rotten,faul,0.19,15,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
13,color,ist nicht,fan,Ventilator,furniture,red,rot,0.17,16,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
14,size,ist ,TV,Fernsehen,furniture,long,lang,0.45,17,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
15,texture,ist nicht,carrot,Karotte,food,hard,hart,0.63,18,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
16,age,ist ,cheese,K&auml;se,food,new,neu,0.4,19,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
17,quality,ist nicht,chair,Stuhl,furniture,good,gut,0.86,20,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
18,color,ist ,couch,Couch,furniture,yellow,gelb,0.13,21,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
19,quality,ist ,TV,Fernsehen,furniture,bad,schlecht,0.91,22,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
20,nationality,ist ,cheese,K&auml;se,food,German,deutsch,0.28,23,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
21,nationality,ist ,couch,Couch,furniture,French,franz&ouml;sisch,0.21,24,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
22,color,ist ,cheese,K&auml;se,food,brown,braun,0.37,25,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
23,shape,ist nicht,desk,Schreibtisch,furniture,square,quadratisch,0.13,26,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
24,size,ist ,banana,Banane,food,big,gro&szlig;,0.67,27,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
25,size,ist nicht,TV,Fernsehen,furniture,small,klein,0.76,28,Deutsch,22,Other,1,,Chrome,Windows,900,1600,3.7299,6,Yes
0,size,ist ,banana,Banane,food,tiny,winzig,0.66,3,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
1,age,ist ,fan,Ventilator,furniture,new,neu,0.24,4,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
2,size,ist nicht,desk,Schreibtisch,furniture,huge,riesig,1.0,5,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
3,texture,ist nicht,tomato,Tomate,food,smooth,glatt,0.31,6,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
4,age,ist nicht,desk,Schreibtisch,furniture,rotten,faul,0.0,7,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
5,color,ist nicht,fan,Ventilator,furniture,blue,blau,0.0,8,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
6,size,ist nicht,banana,Banane,food,long,lang,0.77,9,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
7,quality,ist nicht,fan,Ventilator,furniture,good,gut,1.0,10,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
8,nationality,ist ,desk,Schreibtisch,furniture,American,americanisch,0.27,11,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
9,color,ist ,desk,Schreibtisch,furniture,brown,braun,0.0,12,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
10,texture,ist ,desk,Schreibtisch,furniture,soft,weich,0.18,13,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
11,texture,ist ,banana,Banane,food,hard,hart,0.24,14,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
12,size,ist nicht,chair,Stuhl,furniture,big,gro&szlig;,0.32,15,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
13,size,ist nicht,cheese,K&auml;se,food,short,kurz,0.82,16,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
14,color,ist nicht,desk,Schreibtisch,furniture,green,gr&uuml;n,0.0,17,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
15,quality,ist ,banana,Banane,food,bad,schlecht,0.5,18,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
16,size,ist ,banana,Banane,food,small,klein,0.77,19,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
17,color,ist nicht,chair,Stuhl,furniture,yellow,gelb,0.0,20,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
18,nationality,ist nicht,fan,Ventilator,furniture,French,franz&ouml;sisch,0.0,21,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
19,color,ist nicht,chair,Stuhl,furniture,red,rot,0.0,22,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
20,age,ist ,apple,Apfel,food,old,alt,0.88,23,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
21,nationality,ist nicht,cheese,K&auml;se,food,German,deutsch,0.19,24,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
22,shape,ist ,cheese,K&auml;se,food,round,rund,0.0,25,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
23,color,ist nicht,TV,Fernsehen,furniture,purple,purpur,0.0,26,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
24,shape,ist nicht,fan,Ventilator,furniture,square,quadratisch,0.0,27,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
25,age,ist ,banana,Banane,food,fresh,frisch,0.85,28,Deutsch,18,Male,2,,Chrome,Windows,1050,1680,4.3924666666666665,7,Yes
0,quality,ist nicht,apple,Apfel,food,good,gut,1.0,3,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
1,color,ist ,chair,Stuhl,furniture,green,gr&uuml;n,0.0,4,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
2,nationality,ist ,banana,Banane,food,German,deutsch,0.0,5,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
3,age,ist ,cheese,K&auml;se,food,old,alt,0.0,6,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
4,shape,ist nicht,fan,Ventilator,furniture,round,rund,0.0,7,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
5,size,ist ,cheese,K&auml;se,food,huge,riesig,1.0,8,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
6,size,ist nicht,couch,Couch,furniture,big,gro&szlig;,1.0,9,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
7,size,ist nicht,cheese,K&auml;se,food,short,kurz,0.51,10,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
8,texture,ist nicht,tomato,Tomate,food,smooth,glatt,0.0,11,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
9,texture,ist nicht,desk,Schreibtisch,furniture,hard,hart,0.0,12,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
10,color,ist ,banana,Banane,food,red,rot,0.0,13,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
11,size,ist ,couch,Couch,furniture,long,lang,1.0,14,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
12,size,ist nicht,couch,Couch,furniture,tiny,winzig,1.0,15,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
13,age,ist ,banana,Banane,food,rotten,faul,1.0,16,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
14,texture,ist ,fan,Ventilator,furniture,soft,weich,0.0,17,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
15,nationality,ist ,apple,Apfel,food,American,americanisch,0.0,18,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
16,color,ist nicht,chair,Stuhl,furniture,blue,blau,0.0,19,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
17,age,ist nicht,banana,Banane,food,new,neu,1.0,20,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
18,quality,ist ,chair,Stuhl,furniture,bad,schlecht,1.0,21,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
19,color,ist nicht,TV,Fernsehen,furniture,purple,purpur,1.0,22,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
20,color,ist ,carrot,Karotte,food,yellow,gelb,0.0,23,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
21,nationality,ist nicht,TV,Fernsehen,furniture,French,franz&ouml;sisch,0.0,24,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
22,age,ist ,TV,Fernsehen,furniture,fresh,frisch,1.0,25,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
23,size,ist nicht,banana,Banane,food,small,klein,1.0,26,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
24,color,ist nicht,chair,Stuhl,furniture,brown,braun,0.0,27,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
25,shape,ist nicht,fan,Ventilator,furniture,square,quadratisch,0.0,28,Deutsch,30,Male,2,,Chrome,Windows,1080,1920,3.3350666666666666,8,Yes
0,age,ist ,apple,Apfel,food,old,alt,0.0,3,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
1,size,ist nicht,tomato,Tomate,food,long,lang,0.01,4,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
2,color,ist ,desk,Schreibtisch,furniture,red,rot,0.29,5,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
3,quality,ist ,couch,Couch,furniture,bad,schlecht,0.99,6,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
4,nationality,ist nicht,couch,Couch,furniture,German,deutsch,0.01,7,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
5,texture,ist ,banana,Banane,food,hard,hart,0.42,8,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
6,nationality,ist ,chair,Stuhl,furniture,American,americanisch,0.42,9,Deutsch,29,Female,3,"Ich habe eine Weile gebraucht um eine Idee zu bekommen, worauf Sie hinaus wollen. Daher sind meine ersten Antworten vermutlich inkonsistent mit den Folgenden. Außerdem haben die Fragen zum fernsehen für mich wenig Sinn gemacht. Das war kein richtiges Deutsch. ",Chrome,Windows,864,1536,8.677416666666666,9,Yes
